Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,Latitude,Longitude
202280391,MURDER,100,N,01/08/2022 08:00:00 AM,01/08/2022,800,01/08/2022 09:29:00 AM,01/08/2022,929,OTHER / UNKNOWN,2300 PASADENA DR,78757,7,ID,7,261,15,C,02/16/2022,09A,Murder,30.34939641,-97.7341754
2022180114,MURDER,100,N,01/18/2022 05:12:00 AM,01/18/2022,512,01/18/2022 05:12:00 AM,01/18/2022,512,RESIDENCE / HOME,4501 E RIVERSIDE DR,78741,3,HE,4,458,23.14,C,02/11/2022,09A,Murder,30.23258831,-97.72209348
2022220149,MURDER,100,N,01/22/2022 02:47:00 AM,01/22/2022,247,01/22/2022 02:47:00 AM,01/22/2022,247,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,400 E 6TH ST,78701,9,GE,2,382,11,C,01/31/2022,09A,Murder,30.26735144,-97.73909331
2022270566,MURDER,100,N,01/27/2022 12:23:00 PM,01/27/2022,1223,01/27/2022 12:23:00 PM,01/27/2022,1223,CONVENIENCE STORE,2538 ELMONT DR,78741,3,HE,2,441,23,C,02/09/2022,09A,Murder,30.23928869,-97.71982803
2022660848,MURDER,100,N,03/07/2022 02:02:00 PM,03/07/2022,1402,03/07/2022 02:02:00 PM,03/07/2022,1402,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4400 BLOCK E RIVERSIDE DR,78741,3,HE,3,442,23.24,C,03/09/2022,09A,Murder,30.23317374,-97.72139983
2022761080,MURDER,100,N,03/17/2022 05:25:00 PM,03/17/2022,1725,03/17/2022 05:25:00 PM,03/17/2022,1725,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,6502 PORTER ST,78741,3,HE,5,444,23.21,C,03/18/2022,09A,Murder,30.23004683,-97.69764731
20221031125,MURDER,100,N,04/09/2022 11:00:00 PM,04/09/2022,2300,04/13/2022 05:45:00 PM,04/13/2022,1745,CAMP / CAMPGROUND,1800 E STASSNEY LN,78744,2,FR,5,650,24.19,C,05/09/2022,09A,Murder,30.19754354,-97.76081673
20221180681,MURDER,100,N,04/28/2022 12:54:00 PM,04/28/2022,1254,04/28/2022 02:29:00 PM,04/28/2022,1429,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,400 E 6TH ST,78701,9,GE,2,382,11,C,04/28/2022,09A,Murder,30.26735144,-97.73909331
20221180663,MURDER,100,N,04/28/2022 12:43:00 PM,04/28/2022,1243,04/28/2022 12:44:00 PM,04/28/2022,1244,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,1100 BLOCK EASTFIELD AVE,78721,1,CH,5,397,21.1,C,04/29/2022,09A,Murder,30.27567772,-97.68575742
20225012123,MURDER,100,N,04/30/2022 08:12:00 PM,04/30/2022,2012,04/30/2022 08:12:00 PM,04/30/2022,2012,PARKING /DROP LOT/ GARAGE,7610 CAMERON RD,78752,4,ID,1,265,433,C,06/28/2022,09A,Murder,30.33174263,-97.68835022
20221311523,MURDER,100,N,05/11/2022 10:10:00 PM,05/11/2022,2210,05/11/2022 10:39:00 PM,05/11/2022,2239,RESIDENCE / HOME,1708 MAPLE AVE,78702,1,CH,3,393,8,C,11/28/2023,09A,Murder,30.27902832,-97.71618212
20221410293,MURDER,100,N,05/21/2022 03:57:00 AM,05/21/2022,357,05/21/2022 03:57:00 AM,05/21/2022,357,PARKING /DROP LOT/ GARAGE,9601 N IH 35 SVRD NB,78753,4,ED,7,241,416,C,07/14/2023,09A,Murder,30.36039064,-97.68595342
20221431302,MURDER,100,N,05/23/2022 09:49:00 PM,05/23/2022,2149,05/23/2022 09:49:00 PM,05/23/2022,2149,PARKING /DROP LOT/ GARAGE,1824 W SLAUGHTER LN,78748,5,FR,1,535,318,C,05/25/2022,09A,Murder,30.17408711,-97.82222335
20221651124,MURDER,100,N,06/14/2022 04:17:00 PM,06/14/2022,1617,06/14/2022 04:17:00 PM,06/14/2022,1617,RESIDENCE / HOME,1040 SPRINGDALE RD,78721,1,CH,4,425,21.11,C,06/21/2022,09A,Murder,30.27012652,-97.69290915
20221691045,MURDER,100,N,06/18/2022 04:53:00 PM,06/18/2022,1653,06/18/2022 05:28:00 PM,06/18/2022,1728,HOTEL / MOTEL / ETC.,7100 N IH 35 SVRD SB,78752,4,ID,8,279,15,C,06/18/2022,09A,Murder,30.3321986,-97.70517392
20221710057,MURDER,100,N,06/20/2022 12:45:00 AM,06/20/2022,45,06/20/2022 12:45:00 AM,06/20/2022,45,PARKING /DROP LOT/ GARAGE,7493 CHEVY CHASE DR,78752,4,ID,8,264,400,C,06/27/2022,09A,Murder,30.33896326,-97.705516
20221841509,MURDER,100,N,07/03/2022 10:20:00 PM,07/03/2022,2220,07/03/2022 10:20:00 PM,07/03/2022,2220,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,700 BLOCK N IH 35 NB,78701,1,CH,2,411,9,C,07/28/2022,09A,Murder,30.26729069,-97.73406019
20221901089,MURDER,100,N,07/09/2022 05:15:00 PM,07/09/2022,1715,07/09/2022 06:19:00 PM,07/09/2022,1819,PARK / PLAYGROUND,1416 BLAKENEY LN,78753,1,ED,7,223,438,C,09/23/2022,09A,Murder,30.38359975,-97.65646354
20221900379,MURDER,100,N,07/09/2022 07:22:00 AM,07/09/2022,722,07/09/2022 11:34:00 AM,07/09/2022,1134,CAMP / CAMPGROUND,9909 N LAMAR BLVD,78753,4,ED,1,240,410,C,07/28/2022,09A,Murder,30.36912491,-97.69338009
20222021201,MURDER,100,N,07/21/2022 08:35:00 PM,07/21/2022,2035,07/21/2022 11:34:00 PM,07/21/2022,2334,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,E 12TH ST / RED RIVER ST,78701,1,GE,1,383,11,C,07/22/2022,09A,Murder,30.27231913,-97.73504968
20222071247,MURDER,100,N,07/26/2022 07:54:00 PM,07/26/2022,1954,07/26/2022 07:54:00 PM,07/26/2022,1954,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4922 NUCKOLS CROSSING RD,78744,2,FR,5,495,24.13,C,08/16/2022,09A,Murder,30.19590924,-97.7373484
20222131490,MURDER,100,N,08/01/2022 11:00:00 PM,08/01/2022,2300,08/01/2022 11:03:00 PM,08/01/2022,2303,RESIDENCE / HOME,8522 BRADFORD DR,78758,4,ED,2,249,401,C,03/01/2023,09A,Murder,30.35869086,-97.70856551
20222170833,MURDER,100,N,08/05/2022 01:53:00 PM,08/05/2022,1353,08/05/2022 04:14:00 PM,08/05/2022,1614,SERVICE/ GAS STATION,6310 E BEN WHITE BLVD SVRD WB,78741,3,HE,5,459,23.2,C,08/06/2022,09A,Murder,30.21297425,-97.71139129
20222180157,MURDER,100,N,08/06/2022 03:50:00 AM,08/06/2022,350,08/06/2022 03:50:00 AM,08/06/2022,350,PARKING /DROP LOT/ GARAGE,400 E 7TH ST,78701,9,GE,2,382,11,C,08/16/2022,09A,Murder,30.26805667,-97.73887791
20222210343,MURDER,100,N,08/09/2022 08:08:00 AM,08/09/2022,808,08/09/2022 08:08:00 AM,08/09/2022,808,SERVICE/ GAS STATION,1600 OHLEN RD,78758,4,ED,2,249,401,,,09A,Murder,30.36436858,-97.71534117
20222221353,MURDER,100,N,08/10/2022 09:09:00 PM,08/10/2022,2109,08/10/2022 10:21:00 PM,08/10/2022,2221,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,2121 E OLTORF ST,78741,3,HE,2,483,23.13,C,08/16/2022,09A,Murder,30.23015309,-97.7325797
20222220693,MURDER,100,N,08/10/2022 01:00:00 PM,08/10/2022,1300,08/10/2022 01:44:00 PM,08/10/2022,1344,PARKING /DROP LOT/ GARAGE,1200 KRAMER LN,78758,4,ED,4,2213,419,C,08/11/2022,09A,Murder,30.38289967,-97.69435755
20222280446,MURDER,100,N,08/16/2022 10:50:00 AM,08/16/2022,1050,08/16/2022 10:57:00 AM,08/16/2022,1057,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,700 BLOCK E 6TH ST,78701,9,GE,2,382,11,C,02/14/2023,09A,Murder,30.26628759,-97.73586154
20222360238,MURDER,100,N,08/24/2022 07:59:00 AM,08/24/2022,759,08/24/2022 07:59:00 AM,08/24/2022,759,PARK / PLAYGROUND,800 W RIVERSIDE DR,78704,9,DA,1,438,13.11,C,08/24/2022,09A,Murder,30.26196623,-97.75093545
20222370273,MURDER,100,N,08/25/2022 08:29:00 AM,08/25/2022,829,08/25/2022 08:29:00 AM,08/25/2022,829,PARK / PLAYGROUND,2201 BARTON SPRINGS RD,78746,5,DA,1,450,19.23,,,09A,Murder,30.26366923,-97.7711009
20222470231,MURDER,100,N,09/04/2022 02:34:00 AM,09/04/2022,234,09/04/2022 02:34:00 AM,09/04/2022,234,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,114 W 7TH ST,78701,9,GE,1,380,11,,,09A,Murder,30.26942931,-97.74337524
20222601239,MURDER,100,N,09/17/2022 08:25:00 PM,09/17/2022,2025,09/17/2022 09:53:00 PM,09/17/2022,2153,PARKING /DROP LOT/ GARAGE,8645 RESEARCH BLVD SVRD NB,78758,4,ED,2,249,401,C,03/01/2023,09A,Murder,30.36373706,-97.71701076
20222941309,MURDER,100,N,10/21/2022 07:31:00 PM,10/21/2022,1931,10/21/2022 07:31:00 PM,10/21/2022,1931,PARKING /DROP LOT/ GARAGE,6600 ED BLUESTEIN BLVD SB,78723,1,CH,4,299,21,,,09A,Murder,30.30552185,-97.66162478
20222961092,MURDER,100,N,10/23/2022 04:52:00 PM,10/23/2022,1652,10/23/2022 04:52:00 PM,10/23/2022,1652,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,8016 TISDALE DR,78757,7,ID,7,248,405,C,10/25/2022,09A,Murder,30.35387842,-97.71748431
20222970811,MURDER,100,N,10/24/2022 01:44:00 PM,10/24/2022,1344,10/24/2022 02:09:00 PM,10/24/2022,1409,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,1500 BLOCK BRANDT DR,78742,2,HE,8,500,23.1,N,06/26/2023,09A,Murder,30.22238138,-97.67395467
20222980582,MURDER,100,N,10/25/2022 10:55:00 AM,10/25/2022,1055,10/25/2022 02:07:00 PM,10/25/2022,1407,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,1800 WICKERSHAM LN,78741,3,HE,3,442,23.24,C,02/08/2023,09A,Murder,30.23371029,-97.71992831
20223030386,MURDER,100,N,10/30/2022 04:53:00 AM,10/30/2022,453,10/30/2022 04:53:00 AM,10/30/2022,453,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,617 E 7TH ST,78701,9,GE,2,382,11,C,11/03/2022,09A,Murder,30.26695859,-97.73612865
20223040542,MURDER,100,N,10/30/2022 01:05:00 AM,10/30/2022,105,10/31/2022 12:20:00 PM,10/31/2022,1220,RESIDENCE / HOME,1308 MC KIE DR,78752,4,ID,1,265,433,,,09A,Murder,30.32984906,-97.69095446
20225031138,MURDER,100,N,11/01/2022 06:00:00 AM,11/01/2022,600,11/07/2022 04:51:00 PM,11/07/2022,1651,RESIDENCE / HOME,3001 ESPERANZA XING,78758,7,AD,2,201,454,C,12/06/2022,09A,Murder,30.39837174,-97.72156621
20223331330,MURDER,100,N,11/29/2022 10:17:00 PM,11/29/2022,2217,11/29/2022 10:17:00 PM,11/29/2022,2217,PARKING /DROP LOT/ GARAGE,1819 S PLEASANT VALLEY RD,78741,3,HE,3,442,23.24,,,09A,Murder,30.23422117,-97.72043394
20223400976,MURDER,100,N,12/06/2022 04:52:00 PM,12/06/2022,1652,12/06/2022 04:52:00 PM,12/06/2022,1652,RESIDENCE / HOME,707 MANKATO DR,78748,5,FR,2,542,24.38,C,01/03/2023,09A,Murder,30.1565311,-97.81391292
20223410101,MURDER,100,N,12/07/2022 02:01:00 AM,12/07/2022,201,12/07/2022 02:01:00 AM,12/07/2022,201,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,409 E 6TH ST,78701,9,GE,2,382,11,C,01/10/2023,09A,Murder,30.26673013,-97.73897059
20223460122,MURDER,100,N,12/12/2022 02:29:00 AM,12/12/2022,229,12/12/2022 06:24:00 AM,12/12/2022,624,GAMBLING FACILITY / CASINO / RACE TRACK,11902 N IH 35 SVRD SB,78753,7,ED,4,221,411,C,01/10/2023,09A,Murder,30.38534653,-97.67379996
20223530136,MURDER,100,N,12/19/2022 03:31:00 AM,12/19/2022,331,12/19/2022 04:27:00 AM,12/19/2022,427,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,1100 W RIVERSIDE DR,78704,9,DA,1,438,13.11,C,01/26/2023,09A,Murder,30.26382262,-97.7544819
2022220536,CAPITAL MURDER,101,N,01/22/2022 11:48:00 AM,01/22/2022,1148,01/22/2022 11:48:00 AM,01/22/2022,1148,PARKING /DROP LOT/ GARAGE,7797 BURNET RD,78757,7,ID,7,260,15,C,02/09/2022,09A,Murder,30.35354543,-97.73045144
2022231337,CAPITAL MURDER,101,N,01/23/2022 10:36:00 PM,01/23/2022,2236,01/23/2022 10:36:00 PM,01/23/2022,2236,RESTAURANT,7522 N IH 35 SVRD SB,78752,4,ID,8,264,400,C,02/02/2022,09A,Murder,30.33795987,-97.7033935
2022290193,CAPITAL MURDER,101,N,01/29/2022 02:56:00 AM,01/29/2022,256,01/29/2022 02:56:00 AM,01/29/2022,256,HOTEL / MOTEL / ETC.,11506 N IH 35 SVRD SB,78753,7,ED,4,221,411,C,02/14/2022,09A,Murder,30.38039006,-97.6752468
2022540922,CAPITAL MURDER,101,N,02/23/2022 05:06:00 PM,02/23/2022,1706,02/23/2022 05:06:00 PM,02/23/2022,1706,SERVICE/ GAS STATION,710 E BEN WHITE BLVD SVRD WB,78704,3,DA,2,480,23.22,C,04/12/2022,09A,Murder,30.2200027,-97.75439457
20222011478,CAPITAL MURDER,101,N,07/20/2022 11:20:00 PM,07/20/2022,2320,07/20/2022 11:20:00 PM,07/20/2022,2320,SERVICE/ GAS STATION,539 W OLTORF ST,78704,3,DA,2,475,13,C,10/10/2022,09A,Murder,30.24175166,-97.75915124
20222950044,CAPITAL MURDER,101,N,10/22/2022 12:35:00 AM,10/22/2022,35,10/22/2022 01:28:00 AM,10/22/2022,128,PARKING /DROP LOT/ GARAGE,5762 N MOPAC EXPY SVRD SB,78731,10,BA,8,273,306,C,01/04/2023,09A,Murder,30.33850804,-97.75571651
20225005767,JUSTIFIED HOMICIDE,107,N,01/05/2022 09:46:00 PM,01/05/2022,2146,01/05/2022 09:46:00 PM,01/05/2022,2146,RESIDENCE / HOME,8107 ELKHORN MOUNTAIN TRL,78729,6,AD,4,165,204,O,06/26/2023,,,30.44362501,-97.76911274
2022550566,JUSTIFIED HOMICIDE,107,N,02/24/2022 09:16:00 AM,02/24/2022,916,02/24/2022 09:16:00 AM,02/24/2022,916,RESIDENCE / HOME,9345 E US 290 HWY SVRD EB,78724,1,CH,7,269,22.2,N,09/08/2022,,,30.32884413,-97.64198083
20221600853,JUSTIFIED HOMICIDE,107,N,06/09/2022 03:20:00 PM,06/09/2022,1520,06/09/2022 03:20:00 PM,06/09/2022,1520,AIR / BUS / TRAIN TERMINAL,12410 N LAMAR BLVD,78758,7,ED,4,204,412,N,06/27/2022,,,30.40668447,-97.6788658
20223320063,JUSTIFIED HOMICIDE,107,N,11/28/2022 01:39:00 AM,11/28/2022,139,11/28/2022 01:39:00 AM,11/28/2022,139,RESIDENCE / HOME,8103 VIEW RIDGE DR,78724,1,CH,7,302,22.22,N,04/19/2023,,,30.29869374,-97.62876128
202220231,AGG ROBBERY/DEADLY WEAPON,300,N,01/02/2022 03:14:00 AM,01/02/2022,314,01/02/2022 03:53:00 AM,01/02/2022,353,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,5800 N MOPAC EXPY NB,78731,10,BA,8,273,306,N,02/09/2022,120,Robbery,30.33956672,-97.7539284
202220114,AGG ROBBERY/DEADLY WEAPON,300,N,01/02/2022 02:19:00 AM,01/02/2022,219,01/02/2022 02:19:00 AM,01/02/2022,219,PARKING /DROP LOT/ GARAGE,2302 E WILLIAM CANNON DR,78744,2,FR,8,516,24.19,N,01/02/2022,120,Robbery,30.18669213,-97.75814558
202230807,AGG ROBBERY/DEADLY WEAPON,300,N,01/03/2022 03:51:00 PM,01/03/2022,1551,01/03/2022 04:55:00 PM,01/03/2022,1655,BANK / SAVINGS & LOAN,501 S CONGRESS AVE,78704,9,HE,1,454,14,C,01/03/2022,120,Robbery,30.25659422,-97.74681481
202240565,AGG ROBBERY/DEADLY WEAPON,300,N,01/04/2022 01:41:00 PM,01/04/2022,1341,01/04/2022 01:41:00 PM,01/04/2022,1341,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,2300 ROBERT BROWNING ST,78723,9,BA,4,900,3,N,07/13/2022,120,Robbery,30.29900242,-97.69918094
202240028,AGG ROBBERY/DEADLY WEAPON,300,N,01/03/2022 09:00:00 PM,01/03/2022,2100,01/04/2022 02:03:00 AM,01/04/2022,203,RESIDENCE / HOME,419 E 6TH ST,78701,9,GE,2,382,11,N,01/20/2022,120,Robbery,30.26664758,-97.73869715
202251015,AGG ROBBERY/DEADLY WEAPON,300,N,01/05/2022 06:04:00 PM,01/05/2022,1804,01/05/2022 06:04:00 PM,01/05/2022,1804,PARK / PLAYGROUND,3811 E 12TH ST,78721,1,CH,4,424,21,C,01/21/2022,120,Robbery,30.27677066,-97.69033811
202251262,AGG ROBBERY/DEADLY WEAPON,300,N,01/05/2022 09:46:00 PM,01/05/2022,2146,01/05/2022 09:46:00 PM,01/05/2022,2146,RESIDENCE / HOME,8107 ELKHORN MOUNTAIN TRL,78729,6,AD,4,165,204,C,02/11/2022,120,Robbery,30.44362501,-97.76911274
202250523,AGG ROBBERY/DEADLY WEAPON,300,N,01/05/2022 01:30:00 AM,01/05/2022,130,01/05/2022 01:34:00 PM,01/05/2022,1334,PARKING /DROP LOT/ GARAGE,2239 CROMWELL CIR,78741,3,HE,4,458,23.14,C,02/10/2022,120,Robbery,30.22840368,-97.71838693
202271374,AGG ROBBERY/DEADLY WEAPON,300,N,01/07/2022 11:30:00 PM,01/07/2022,2330,01/07/2022 11:30:00 PM,01/07/2022,2330,PARKING /DROP LOT/ GARAGE,3915 GUADALUPE ST,78751,9,BA,5,331,3,C,01/31/2022,120,Robbery,30.30483437,-97.73630431
202271141,AGG ROBBERY/DEADLY WEAPON,300,N,01/07/2022 08:03:00 PM,01/07/2022,2003,01/07/2022 08:03:00 PM,01/07/2022,2003,RESTAURANT,4631 AIRPORT BLVD,78751,9,BA,5,321,3,C,01/18/2022,120,Robbery,30.30608819,-97.71506155
202281199,AGG ROBBERY/DEADLY WEAPON,300,N,01/08/2022 09:41:00 PM,01/08/2022,2141,01/08/2022 09:41:00 PM,01/08/2022,2141,BANK / SAVINGS & LOAN,3951 W PARMER LN,78727,7,AD,3,192,413,C,12/04/2023,120,Robbery,30.42489395,-97.71524279
202281192,AGG ROBBERY/DEADLY WEAPON,300,N,01/08/2022 09:39:00 PM,01/08/2022,2139,01/08/2022 10:00:00 PM,01/08/2022,2200,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,RUTLAND DR / N LAMAR BLVD,78758,4,ED,1,239,409,N,04/20/2022,120,Robbery,30.36486901,-97.69600225
202290674,AGG ROBBERY/DEADLY WEAPON,300,N,01/09/2022 01:14:00 PM,01/09/2022,1314,01/09/2022 01:14:00 PM,01/09/2022,1314,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,3600 BLOCK DAVIS LN,78749,8,DA,7,86,335,O,02/24/2022,120,Robbery,30.19649085,-97.8447632
202290741,AGG ROBBERY/DEADLY WEAPON,300,N,01/09/2022 02:09:00 PM,01/09/2022,1409,01/09/2022 02:09:00 PM,01/09/2022,1409,RESIDENCE / HOME,2313 NATIONAL PARK BLVD,78747,5,FR,7,601,24.51,N,02/24/2022,120,Robbery,30.15299628,-97.78553529
202290268,AGG ROBBERY/DEADLY WEAPON,300,N,01/09/2022 05:04:00 AM,01/09/2022,504,01/09/2022 05:04:00 AM,01/09/2022,504,RESTAURANT,7809 E BEN WHITE BLVD SVRD EB,78744,2,HE,6,498,24.48,N,04/01/2022,120,Robbery,30.21830118,-97.68796351
202290948,AGG ROBBERY/DEADLY WEAPON,300,N,01/09/2022 03:45:00 PM,01/09/2022,1545,01/09/2022 09:48:00 PM,01/09/2022,2148,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,5001 CRAINWAY DR,78724,1,CH,7,300,22,N,01/14/2022,120,Robbery,30.3190283,-97.65763354
