Area,Address,Price,Bedrooms,Bathrooms,Sqft
"Austin, TX","602 Kingfisher Creek Dr, Austin, TX 78748","$610,000 ",5,4,"3,260"
"Austin, TX","3504 Black Granite Dr, Austin, TX 78744","$350,000 ",3,2,"1,463"
"Austin, TX","2512 Sunny Hills Dr #27, Austin, TX 78744","$124,900 ",3,2,"1,568"
"Austin, TX","1600 S 1st St #315, Austin, TX 78704","$194,898 ",1,1,435
"Austin, TX","8517 Deja Ave, Austin, TX 78747","$259,900 ",2,2,"1,084"
"Austin, TX","9017 Frostwood Trl, Austin, TX 78729","$450,000 ",4,3,"2,709"
"Austin, TX","5405 Teri Rd, Austin, TX 78744","$359,000 ",4,2,"1,551"
"Austin, TX","12400 Cedar St, Austin, TX 78732","$19,500,000 ",6,13,"15,394"
"Austin, TX","8114 Meandering Way, Austin, TX 78759","$850,000 ",3,4,"2,588"
"Austin, TX","14920 Ben Davis Dr, Austin, TX 78725","$299,999 ",3,2,"1,464"
"Austin, TX","4502 Kind Way, Austin, TX 78725","$265,000 ",3,3,"1,302"
"Austin, TX","2124 Burton Dr APT 127, Austin, TX 78741","$169,900 ",2,2,802
"Austin, TX","2500 Burleson Rd APT 618, Austin, TX 78741","$194,000 ",2,1,535
"Austin, TX","3300 Barksdale Dr, Austin, TX 78725","$379,999 ",4,3,"2,345"
"Austin, TX","2502 Chaparral Trl, Austin, TX 78744","$299,990 ",3,2,"1,435"
"Austin, TX","1210 Eleanor St, Austin, TX 78721","$500,000 ",3,2,"1,627"
"Austin, TX","4009 Rivercrest Dr, Austin, TX 78746","$18,885,000 ",4,5,"4,602"
"Austin, TX","5128 Concho Creek Bnd, Austin, TX 78735","$900,000 ",4,3,"2,686"
"Austin, TX","9717 Meadowheath Dr, Austin, TX 78729","$339,900 ",3,2,"1,420"
"Austin, TX","11604 D K Ranch Rd, Austin, TX 78759","$655,000 ",4,3,"2,645"
"Austin, TX","4402 Aqua Verde Dr, Austin, TX 78746","$13,495,000 ",5,6,"6,200"
"Austin, TX","4511 Inicio Ln #356, Austin, TX 78725","$275,000 ",3,2,"1,346"
